,claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight
3935,9933,38,M,1.0,69,36388,1,0,Own,15010,4/3/2016,Sunday,Local,0,0.0,62,Phone,1,3983.076391,3.0,Large,23581.64845,silver,17783.17179
9130,22885,47,M,0.0,86,38495,0,1,Own,15035,8/16/2015,Sunday,Local,0,0.0,29,Phone,0,6384.123068,8.0,Large,11727.95976,white,18182.21746
6278,15753,33,F,1.0,81,34958,1,0,Own,50021,2/3/2016,Wednesday,Parking Lot,0,0.0,90,Broker,0,5079.261811,4.0,Compact,28910.41503,blue,6801.633594
7507,18859,45,M,1.0,86,38076,1,1,Own,20107,1/24/2016,Sunday,Parking Lot,0,0.0,51,Phone,1,6379.908235,8.0,Medium,20770.38495,red,15668.22214
9674,24266,37,F,1.0,88,36090,1,0,Own,15009,6/24/2016,Friday,Local,0,0.0,63,Broker,1,6847.133355,7.0,Medium,21765.80022,blue,14143.41599
6978,17502,42,M,1.0,81,37383,1,0,Own,15018,11/18/2016,Friday,Parking Lot,0,0.0,49,Broker,0,5790.505705,0.0,Medium,4905.227366,other,12712.28618
9506,23823,30,M,1.0,50,34010,1,1,Own,85035,5/24/2016,Tuesday,Local,0,0.0,50,Phone,0,5732.667863000001,8.0,Large,5916.505501,other,19980.2392
6143,15417,65,M,1.0,64,41757,0,0,Rent,50008,8/23/2016,Tuesday,Local,1,0.0,11,Broker,1,2388.01599,3.0,Large,31091.55391,blue,24293.174580000003
9126,22871,79,M,1.0,31,43679,1,0,Own,80003,1/8/2016,Friday,Local,0,0.0,0,Phone,1,5086.599429999999,5.0,Medium,16781.96646,gray,33661.34736
5956,14938,46,M,1.0,64,38294,1,0,Own,20117,7/19/2015,Sunday,Parking Lot,0,0.0,96,Online,1,2552.285504,9.0,Large,16694.69477,white,28846.50631
4314,10880,50,F,1.0,97,39121,0,0,Rent,50057,5/17/2016,Tuesday,Parking Lot,2,0.0,1,Broker,0,4574.685461,5.0,Large,32619.7464,silver,37497.95846
2829,7090,40,M,1.0,80,36899,1,0,Own,15052,3/8/2016,Tuesday,Highway,0,0.0,70,Phone,1,6302.48944,4.0,Large,15683.369030000002,silver,6585.377475
5240,13174,27,M,1.0,54,32964,0,0,Rent,50012,4/20/2015,Monday,Parking Lot,0,0.0,88,Online,0,5407.47925,3.0,Medium,38036.04652,black,20113.84725
4523,11416,43,M,1.0,96,37620,0,1,Own,50048,2/20/2016,Saturday,Parking Lot,0,0.0,96,Broker,0,5491.101093,5.0,Large,28515.44547,blue,21024.90195
6983,17524,49,M,1.0,72,38928,1,0,Own,80011,2/27/2016,Saturday,Parking Lot,1,0.0,87,Phone,1,7321.892225,5.0,Compact,13299.63084,white,37306.2991
8276,20772,46,M,0.0,58,38297,1,1,Rent,80020,3/8/2015,Sunday,Highway,0,0.0,54,Broker,0,2025.85914,7.0,Large,16185.88872,gray,49424.40464
11984,29961,65,M,0.0,96,41753,0,1,Own,50031,1/5/2015,Monday,Local,1,0.0,50,Phone,0,3478.3478630000004,5.0,Compact,16111.98393,other,13405.75271
7072,17731,48,M,1.0,55,38707,1,0,Own,20129,4/29/2016,Friday,Local,0,0.0,12,Broker,1,7678.952929999999,6.0,Large,14569.6264,silver,36672.88135
2231,5555,36,F,0.0,82,35844,1,1,Rent,85029,10/1/2015,Thursday,Parking Lot,0,0.0,51,Phone,1,4697.54226,2.0,Compact,9677.799578,other,11842.52554
4071,10293,24,M,1.0,56,31787,1,1,Rent,15003,12/14/2016,Wednesday,Local,0,0.0,1,Online,0,3309.878694,4.0,Large,24388.00803,white,15050.66201
4382,11062,45,M,1.0,81,38089,1,1,Own,85017,12/8/2016,Thursday,Parking Lot,0,0.0,2,Phone,0,3643.565169,2.0,Large,15198.91,white,5067.472807
556,1415,32,F,1.0,94,34650,1,0,Own,50034,5/25/2015,Monday,Local,0,1.0,9,Phone,0,8958.410015000001,4.0,Large,30813.36151,red,36693.72552
7282,18293,35,F,1.0,72,35536,1,0,Own,20106,3/6/2016,Sunday,Local,0,1.0,47,Broker,1,1719.069838,7.0,Large,27994.08663,gray,28798.19427
1921,4792,40,M,0.0,81,36891,1,0,Own,15045,11/16/2016,Wednesday,Parking Lot,0,0.0,50,Broker,1,6273.1110850000005,4.0,Medium,25078.26781,white,22779.194880000003
1274,3197,48,M,0.0,85,38727,1,0,Own,50001,8/5/2015,Wednesday,Parking Lot,0,0.0,100,Broker,0,5868.894714,4.0,Medium,19146.22109,other,34485.637930000004
3156,7958,35,F,1.0,78,35562,1,0,Own,85072,9/16/2016,Friday,Highway,0,1.0,1,Online,1,4023.338481,5.0,Compact,18238.51865,blue,11614.8921
8736,21879,40,M,1.0,95,36892,1,1,Own,80102,9/5/2015,Saturday,Local,0,0.0,20,Broker,0,4850.905897,8.0,Compact,10771.60434,blue,28556.86598
7594,19105,39,M,0.0,82,36633,1,0,Rent,15054,12/15/2016,Thursday,Highway,0,1.0,100,Broker,1,4396.059261,3.0,Large,7785.387114,black,16572.418690000002
9094,22781,29,M,1.0,50,33669,1,0,Rent,85077,11/23/2015,Monday,Local,3,0.0,19,Online,1,8569.962463,3.0,Compact,15479.00324,other,19222.56635
8607,21556,20,F,0.0,77,29964,1,0,Rent,20151,1/4/2015,Sunday,Parking Lot,0,0.0,10,Online,0,1516.8553060000002,4.0,Large,16108.69227,gray,33030.75946
4024,10184,44,F,1.0,92,37842,0,0,Own,50028,1/19/2016,Tuesday,Parking Lot,0,0.0,0,Broker,1,2829.016955,7.0,Compact,19448.75056,black,15785.671519999998
6730,16857,33,M,0.0,65,34969,1,1,Rent,80107,6/21/2016,Tuesday,Parking Lot,0,0.0,1,Phone,1,2735.80672,4.0,Medium,10959.92137,gray,22514.89493
10764,26911,42,M,1.0,79,37381,1,0,Rent,85048,6/26/2015,Friday,Local,1,0.0,0,Broker,1,4660.723485,6.0,Large,14669.04874,black,36494.21225
51,137,54,F,1.0,67,39886,1,0,Rent,20111,5/6/2015,Wednesday,Highway,0,0.0,70,Broker,0,3911.318457,1.0,Medium,16049.82276,red,23124.3461
8815,22059,45,M,1.0,67,38077,1,1,Own,15028,5/20/2016,Friday,Local,0,0.0,99,Phone,0,6037.3917280000005,6.0,Large,9381.670125,black,44916.87548
6088,15274,57,M,1.0,96,40443,1,0,Own,15001,3/31/2016,Thursday,Highway,0,0.0,3,Broker,0,3233.242965,7.0,Large,17319.934380000002,silver,10227.71991
8171,20503,47,M,0.0,87,38512,0,1,Rent,20111,7/4/2016,Monday,Parking Lot,0,0.0,46,Broker,0,3179.125742,11.0,Compact,14825.8154,red,11380.47362
2713,6785,47,F,1.0,94,38500,0,0,Own,15021,4/21/2015,Tuesday,Highway,3,0.0,2,Broker,1,9343.053542,7.0,Compact,10767.56521,blue,31940.75245
3967,10034,25,M,0.0,57,32193,1,0,Own,85073,1/19/2015,Monday,Parking Lot,2,1.0,64,Online,0,2997.906621,7.0,Large,29841.586860000003,other,44401.84189
641,1656,36,F,0.0,10,35827,1,0,Rent,20115,6/6/2015,Saturday,Parking Lot,0,1.0,74,Phone,1,7024.657362000001,9.0,Medium,16984.63015,blue,21138.02513
7669,19277,49,F,1.0,72,38901,0,1,Own,20129,12/31/2016,Saturday,Local,0,0.0,91,Online,1,3545.261475,5.0,Medium,19270.55154,gray,25967.13395
9654,24213,45,M,1.0,92,38074,1,1,Own,20116,6/30/2015,Tuesday,Local,0,1.0,98,Broker,0,1669.313416,7.0,Compact,16598.01315,other,29080.00935
8533,21395,49,F,1.0,76,38896,0,1,Own,85061,2/5/2015,Thursday,Local,0,0.0,34,Broker,0,1704.112259,4.0,Large,18501.16791,gray,20785.53152
11348,28328,49,F,0.0,81,38901,0,1,Own,15004,2/10/2015,Tuesday,Local,0,1.0,60,Phone,0,4729.375196,4.0,Medium,15972.23297,white,36138.93874
2576,6445,38,M,1.0,47,36384,0,1,Own,85012,4/15/2016,Friday,Local,0,0.0,14,Broker,0,5623.514566,9.0,Compact,32022.88452,gray,26814.56145
6664,16703,37,M,1.0,78,36113,1,1,Own,15004,11/1/2015,Sunday,Local,0,0.0,4,Broker,0,3529.353251,7.0,Medium,27985.66933,other,27935.58938
4712,11874,30,F,1.0,66,34024,0,1,Own,80036,3/20/2015,Friday,Local,0,0.0,100,Phone,0,6111.810164,1.0,Large,36792.74399,other,49009.5235
6769,16954,37,M,0.0,92,36103,1,1,Rent,50021,3/6/2016,Sunday,Local,2,0.0,100,Phone,1,5879.378118,10.0,Medium,25744.46682,black,26245.07919
3541,8955,33,M,1.0,89,34967,1,1,Own,50049,2/15/2016,Monday,Local,0,0.0,18,Phone,1,3012.054374,4.0,Compact,37368.35297,silver,44316.43649
11580,28930,30,F,1.0,79,34027,1,0,Own,80002,10/30/2015,Friday,Parking Lot,0,0.0,50,Broker,1,6826.804273000001,5.0,Compact,29443.49297,white,50212.41738
4820,12118,44,M,1.0,76,37848,1,1,Own,80016,9/5/2016,Monday,Local,0,0.0,96,Broker,1,10016.14999,3.0,Large,24303.34104,gray,7489.957098999999
1356,3403,45,F,0.0,78,38052,1,0,Own,80014,9/20/2016,Tuesday,Local,1,0.0,27,Phone,0,2944.40771,3.0,Compact,34431.74417,gray,13831.72071
3455,8742,63,F,1.0,70,41423,1,1,Rent,50006,5/25/2016,Wednesday,Highway,0,1.0,0,Phone,1,4756.916878,5.0,Large,16917.658030000002,other,38424.15052
6667,16708,50,F,1.0,89,39128,1,0,Rent,50041,7/20/2016,Wednesday,Local,0,0.0,42,Phone,1,4548.081509000001,6.0,Large,33181.1824,silver,13797.15591
2884,7255,43,F,1.0,60,37625,1,1,Rent,20116,3/29/2015,Sunday,Highway,0,0.0,50,Broker,0,1202.354793,9.0,Medium,24356.29243,blue,45188.16043
8183,20548,48,M,1.0,54,38717,1,1,Own,20104,4/15/2016,Friday,Local,0,1.0,37,Phone,0,5327.015668999999,6.0,Large,12419.91124,gray,17208.62064
3112,7840,21,M,1.0,69,30458,1,0,Rent,85018,1/10/2016,Sunday,Highway,0,0.0,37,Online,1,5106.061037,6.0,Large,31560.02713,silver,59375.48019
2973,7471,38,F,0.0,76,36370,0,0,Rent,85007,9/16/2015,Wednesday,Local,0,1.0,1,Phone,1,3402.916572,4.0,Compact,32328.5046,gray,8585.968537
1901,4740,42,F,0.0,95,37379,1,0,Own,85068,6/10/2015,Wednesday,Highway,0,0.0,100,Broker,1,4415.467958,4.0,Compact,38171.49484,white,16224.991930000002
5203,13097,30,M,0.0,87,34008,1,1,Own,80011,5/25/2015,Monday,Local,1,1.0,50,Broker,1,1620.405133,2.0,Compact,56604.12133,black,13855.37412
10016,25079,45,F,0.0,82,38066,1,0,Rent,50055,7/1/2016,Friday,Local,0,0.0,100,Phone,0,2665.942246,7.0,Medium,7698.068514,blue,19639.95625
489,1247,29,F,1.0,61,33687,0,1,Own,80035,11/6/2016,Sunday,Parking Lot,0,0.0,94,Online,0,8285.584681,5.0,Large,13490.268869999998,other,42274.48653
11813,29527,22,F,1.0,86,30893,0,1,Rent,20163,2/16/2016,Tuesday,Local,0,0.0,97,Online,0,3058.10379,10.0,Medium,27425.52211,silver,9864.034405
1699,4242,42,M,0.0,80,37379,1,0,Own,80012,2/2/2016,Tuesday,Parking Lot,1,0.0,0,Broker,0,6163.016001,4.0,Compact,22956.11799,other,13590.51768
10099,25287,48,M,0.0,84,38712,1,1,Own,15024,9/14/2015,Monday,Parking Lot,0,0.0,94,Phone,1,3807.500274,7.0,Medium,14965.47546,white,18290.51925
8203,20590,36,F,0.0,61,35839,1,1,Own,85045,7/10/2015,Friday,Local,0,0.0,4,Broker,0,5560.014571,9.0,Compact,37971.2972,gray,12435.69104
7799,19566,24,M,1.0,75,31778,1,1,Rent,15047,6/13/2016,Monday,Local,0,0.0,94,Online,0,2522.523273,8.0,Medium,48904.774710000005,white,15466.14589
7664,19270,45,F,0.0,60,38071,1,1,Rent,85071,11/13/2015,Friday,Parking Lot,0,0.0,36,Broker,1,3200.477528,9.0,Large,5654.752173,other,28112.387560000003
8965,22460,57,F,1.0,96,40436,1,0,Own,80023,4/9/2016,Saturday,Local,0,0.0,79,Broker,0,2819.294449,6.0,Compact,12917.36666,blue,23950.35753
7014,17603,47,F,1.0,57,38511,0,1,Own,50001,3/29/2015,Sunday,Local,0,0.0,78,Broker,1,4468.835704,3.0,Compact,24824.11627,white,31225.793380000003
10832,27095,39,M,1.0,83,36618,1,0,Rent,80031,4/9/2016,Saturday,Local,0,0.0,61,Broker,0,6161.682342,4.0,Compact,16021.35609,white,19201.01889
673,1739,38,M,1.0,64,36374,1,0,Rent,80106,10/2/2016,Sunday,Highway,0,0.0,50,Broker,1,4728.154553,5.0,Large,39181.23466,black,10279.94648
5602,14099,47,M,0.0,90,38507,1,1,Own,80001,3/16/2016,Wednesday,Parking Lot,0,0.0,93,Online,0,4528.267374,3.0,Large,12024.7889,silver,36176.30361
11411,28492,39,M,1.0,94,36648,1,0,Rent,20165,8/1/2016,Monday,Parking Lot,0,0.0,10,Broker,0,6863.659482999999,6.0,Compact,40153.94713,gray,16568.14585
4486,11321,62,F,1.0,70,41281,1,0,Own,80108,9/23/2015,Wednesday,Local,0,0.0,0,Phone,1,5468.031591,5.0,Medium,17409.75628,gray,17066.254419999997
9297,23340,41,M,1.0,77,37132,1,1,Rent,50025,3/25/2016,Friday,Parking Lot,0,0.0,56,Phone,0,3478.95922,5.0,Compact,45096.18086,gray,27925.76186
2562,6401,32,M,0.0,74,34673,1,1,Own,85064,10/14/2015,Wednesday,Local,0,0.0,60,Broker,0,7460.517839,5.0,Medium,52244.98769,other,26793.77236
11472,28663,69,M,1.0,56,42336,1,1,Rent,80017,6/6/2016,Monday,Local,0,0.0,18,Phone,0,8913.170364,10.0,Medium,20733.98817,black,27820.58897
1895,4726,36,F,1.0,91,35849,1,0,Own,15032,1/2/2015,Friday,Parking Lot,1,0.0,99,Broker,0,9665.876605,2.0,Compact,11732.20217,gray,24899.03449
383,968,55,M,1.0,83,40077,1,1,Own,20156,12/6/2016,Tuesday,Highway,0,1.0,98,Broker,1,10081.46779,8.0,Compact,37647.81267,white,13396.33171
4841,12166,45,F,1.0,91,38077,0,0,Rent,80005,1/1/2016,Friday,Local,0,0.0,92,Phone,1,3966.703994,10.0,Medium,38999.49304,black,39625.05963
9738,24419,54,F,0.0,77,39892,0,1,Own,80041,4/8/2015,Wednesday,Parking Lot,0,0.0,57,Online,0,5007.735932,7.0,Large,7198.850259999999,other,14969.8207
7019,17615,32,M,1.0,65,34641,1,1,Own,80021,6/15/2016,Wednesday,Local,1,0.0,12,Broker,0,9610.570875,3.0,Large,18516.5625,blue,17337.54869
6437,16140,28,M,0.0,78,33315,0,1,Rent,85027,8/26/2016,Friday,Parking Lot,1,0.0,99,Online,0,1676.110374,3.0,Medium,12481.81498,red,7283.184753
10090,25263,65,F,1.0,77,41732,1,1,Rent,15027,6/30/2015,Tuesday,Local,0,0.0,15,Phone,0,4242.324715,3.0,Compact,17051.623040000002,red,9582.836753
67,181,45,M,1.0,81,38066,1,1,Own,80047,10/18/2015,Sunday,Local,0,1.0,50,Broker,0,3850.363277,7.0,Large,25468.29525,white,30083.56947
3179,8016,45,M,1.0,90,38063,1,0,Own,15021,10/21/2015,Wednesday,Parking Lot,0,0.0,77,Broker,1,7129.956104000001,5.0,Medium,16766.287940000002,other,32123.670360000004
687,1770,60,F,1.0,76,40945,1,0,Rent,85054,7/19/2015,Sunday,Local,5,1.0,52,Broker,1,4449.911201,8.0,Large,15611.13627,red,19288.35763
10173,25464,57,F,1.0,96,40431,1,0,Rent,85069,10/29/2015,Thursday,Local,0,0.0,84,Broker,0,4980.861411999999,2.0,Medium,11298.75311,blue,15913.59055
7874,19736,51,M,1.0,87,39326,1,1,Rent,20149,12/22/2016,Thursday,Highway,0,1.0,100,Broker,1,5374.4097,6.0,Compact,20689.27036,white,23477.47734
2920,7344,35,M,1.0,48,35552,1,1,Rent,20119,6/28/2015,Sunday,Local,3,0.0,50,Broker,1,3081.312499,7.0,Compact,10526.40864,other,19370.51636
4315,10885,45,F,1.0,95,38082,0,1,Own,85035,10/21/2015,Wednesday,Parking Lot,0,0.0,70,Broker,0,8134.179854999999,6.0,Large,22386.24202,red,32569.84249
6993,17558,54,M,1.0,86,39880,1,0,Own,15019,9/7/2016,Wednesday,Local,1,0.0,50,Phone,0,6607.548292,7.0,Large,47947.92243,blue,10328.3709
5637,14193,34,M,0.0,75,35271,1,0,Own,80107,12/4/2016,Sunday,Parking Lot,2,0.0,69,Phone,0,4490.883331,8.0,Compact,27712.66945,gray,25469.00587
9395,23565,30,M,1.0,64,34029,0,0,Rent,15022,8/3/2015,Monday,Local,0,0.0,15,Broker,0,3403.461638,3.0,Large,35987.30126,red,12866.50973
9647,24197,28,F,0.0,65,33318,0,0,Own,50025,6/8/2016,Wednesday,Parking Lot,0,0.0,27,Online,0,6740.190498000001,8.0,Large,12091.01199,white,11605.9042
1460,3664,56,M,1.0,81,40273,0,1,Own,80108,9/6/2016,Tuesday,Highway,0,0.0,50,Broker,1,5252.418234000001,4.0,Compact,9892.43101,black,53201.18524
1145,2879,54,F,1.0,52,39905,1,1,Own,50038,9/20/2015,Sunday,Local,1,1.0,87,Broker,1,4330.83605,4.0,Medium,9106.42847,blue,17839.18749
9432,23652,38,F,0.0,90,36381,1,0,Own,15052,10/1/2015,Thursday,Highway,0,1.0,50,Phone,1,3988.272669,2.0,Medium,11347.15641,other,11637.75983
9699,24318,35,M,1.0,76,35560,1,0,Own,85040,3/19/2015,Thursday,Local,0,1.0,2,Broker,1,5521.006170000001,4.0,Large,26464.19331,red,38157.11192
9385,23544,66,F,1.0,78,41893,1,0,Own,80027,5/15/2016,Sunday,Local,0,0.0,45,Online,0,2479.986055,4.0,Large,13861.17119,silver,8833.774195999998
3701,9353,58,F,0.0,73,40605,1,1,Rent,85055,10/21/2015,Wednesday,Local,0,0.0,50,Phone,1,6425.805297999999,4.0,Large,26139.79868,gray,30421.91527
8058,20214,59,F,1.0,64,40764,1,0,Rent,15032,9/21/2015,Monday,Local,0,0.0,71,Phone,0,4598.787478,3.0,Compact,24696.20858,silver,13931.67395
10611,26551,57,F,1.0,50,40427,0,1,Own,50022,4/22/2015,Wednesday,Parking Lot,0,0.0,30,Phone,1,1993.140165,6.0,Compact,10809.71717,silver,17067.98239
6938,17400,28,M,0.0,61,33300,0,0,Rent,50007,9/8/2016,Thursday,Highway,3,0.0,79,Phone,1,5687.298041,2.0,Medium,28672.082560000003,blue,25997.5
9756,24462,45,F,1.0,79,38051,1,0,Rent,80041,5/10/2016,Tuesday,Local,1,0.0,3,Broker,0,4485.213818,2.0,Compact,17254.26755,blue,35351.9624
5773,14514,43,M,0.0,85,37620,0,0,Rent,50022,1/12/2016,Tuesday,Local,0,1.0,66,Broker,0,3422.534189,6.0,Medium,29180.09847,white,11628.62248
872,2200,55,M,1.0,78,40064,0,0,Own,15019,1/7/2015,Wednesday,Parking Lot,0,0.0,96,Broker,1,2616.182156,2.0,Large,36503.23406,other,13853.009419999998
3618,9128,46,F,1.0,79,38278,1,0,Own,50009,2/10/2016,Wednesday,Local,1,0.0,85,Phone,0,2562.184568,4.0,Medium,20651.70972,gray,48394.196
1938,4831,62,F,0.0,61,41260,1,0,Own,15022,10/21/2015,Wednesday,Highway,1,0.0,75,Broker,0,5559.875794,2.0,Large,16243.353169999998,silver,12727.55179
10682,26710,61,F,1.0,84,41114,1,1,Rent,80042,10/19/2015,Monday,Parking Lot,0,0.0,92,Broker,0,5562.305063000001,5.0,Large,28767.732410000004,white,26059.65984
1283,3228,31,F,1.0,76,34346,1,0,Own,80025,4/6/2015,Monday,Parking Lot,1,0.0,85,Broker,1,6902.789801999999,3.0,Large,17369.86855,white,10070.67327
8541,21411,41,F,1.0,77,37137,1,0,Rent,85002,7/21/2015,Tuesday,Local,3,1.0,35,Broker,1,4853.1803390000005,2.0,Compact,19868.7138,black,30451.48687
2370,5938,43,F,1.0,77,37608,1,1,Own,20149,8/2/2016,Tuesday,Local,0,0.0,100,Broker,1,1374.653375,4.0,Compact,54727.75113,black,16190.48005
9621,24121,45,M,1.0,91,38076,1,0,Rent,50047,5/21/2016,Saturday,Parking Lot,0,0.0,94,Phone,0,2616.070696,6.0,Large,7690.667881,red,25260.199
3257,8194,50,F,1.0,69,39122,0,1,Rent,20164,11/4/2015,Wednesday,Local,1,0.0,49,Broker,1,7651.434825,3.0,Compact,5672.7941280000005,black,9686.59092
6130,15377,35,M,1.0,80,35556,1,1,Rent,80012,11/23/2015,Monday,Parking Lot,0,0.0,95,Broker,1,4167.204959000001,6.0,Large,26649.26361,other,26139.99767
530,1342,59,F,1.0,82,40763,1,1,Rent,85015,6/14/2016,Tuesday,Parking Lot,1,0.0,43,Phone,1,6364.884465,8.0,Compact,13261.10489,white,29226.48324
10333,25870,46,M,1.0,88,38286,1,0,Rent,50001,9/24/2016,Saturday,Local,1,0.0,34,Broker,1,4886.982575999999,5.0,Compact,16907.70505,other,22293.98946
1781,4461,59,M,1.0,61,40770,1,0,Own,20103,10/12/2015,Monday,Local,0,1.0,8,Broker,0,5501.658434,6.0,Large,17932.50957,red,9954.757462
7496,18828,47,M,0.0,83,38502,1,0,Rent,80105,5/5/2016,Thursday,Local,0,1.0,51,Online,1,2759.990598,3.0,Medium,15732.605780000002,silver,25509.94283
4122,10418,46,M,1.0,80,38292,1,1,Own,50012,3/11/2015,Wednesday,Highway,0,0.0,50,Broker,1,4074.834886,9.0,Compact,10439.93483,blue,14419.90231
9607,24080,46,F,0.0,80,38299,1,1,Rent,15014,3/1/2016,Tuesday,Local,1,0.0,47,Broker,0,3337.32949,6.0,Large,53782.51336,silver,5722.404593
4635,11678,30,M,0.0,63,34003,0,1,Own,20152,4/4/2016,Monday,Local,0,1.0,73,Phone,0,6061.594071,5.0,Compact,41790.43549,other,11156.6326
8290,20809,31,M,1.0,67,34350,0,1,Rent,15025,12/6/2015,Sunday,Local,1,0.0,17,Broker,1,11477.69523,4.0,Compact,24453.95642,red,17794.13548
10552,26394,32,F,1.0,86,34654,1,1,Own,85012,3/9/2015,Monday,Highway,0,0.0,54,Broker,1,3391.0044880000005,2.0,Large,17862.44051,red,33504.917
9615,24108,45,M,1.0,52,38079,0,1,Rent,20132,10/12/2015,Monday,Parking Lot,1,0.0,65,Broker,1,5900.81877,8.0,Medium,11370.81779,gray,28622.44009
11662,29123,40,F,1.0,71,36887,1,1,Own,20146,6/22/2016,Wednesday,Parking Lot,0,0.0,33,Broker,0,3936.22322,4.0,Compact,13426.68552,black,12345.9626
7698,19347,40,F,1.0,73,36890,1,1,Own,20116,3/20/2016,Sunday,Parking Lot,4,0.0,79,Broker,1,7925.566551000001,4.0,Compact,10014.16269,blue,17359.32247
5348,13443,45,M,1.0,47,38091,1,0,Own,85028,3/20/2016,Sunday,Highway,0,0.0,100,Phone,0,3901.701749,3.0,Medium,14693.79039,other,17727.85841
3314,8362,64,M,1.0,52,41593,1,0,Own,15043,1/19/2016,Tuesday,Highway,0,1.0,51,Phone,1,6197.530143,3.0,Medium,41589.50362,white,31027.48457
4270,10771,37,M,0.0,83,36120,1,0,Rent,15003,2/10/2016,Wednesday,Highway,0,0.0,31,Broker,0,4959.60704,5.0,Large,21331.31864,blue,6849.223564
5349,13445,47,F,1.0,75,38503,1,1,Own,15030,5/3/2016,Tuesday,Highway,0,0.0,41,Broker,0,7938.301670000001,6.0,Compact,11804.94982,silver,29879.2876
10549,26389,47,F,1.0,56,38511,1,1,Own,85036,1/15/2015,Thursday,Highway,0,1.0,1,Broker,0,2622.904206,3.0,Compact,33085.69477,red,29139.68
6977,17501,35,M,1.0,81,35549,1,0,Own,15031,7/15/2016,Friday,Highway,0,0.0,29,Phone,1,3762.864481,2.0,Compact,8755.023591,white,15960.70912
3957,10001,34,F,1.0,91,35269,1,1,Own,85016,5/29/2015,Friday,Local,0,0.0,49,Phone,0,3057.490174,3.0,Medium,12699.94422,gray,15964.53963
6747,16895,51,M,1.0,49,39327,1,1,Own,20143,10/26/2015,Monday,Highway,3,0.0,59,Phone,1,6510.959664,4.0,Compact,29336.63705,red,13546.86748
8302,20828,34,M,1.0,55,35266,1,1,Rent,15037,7/28/2016,Thursday,Parking Lot,0,0.0,92,Phone,0,2927.83953,3.0,Medium,25215.55061,gray,19334.94902
10351,25911,48,F,1.0,83,38716,0,0,Own,80022,11/16/2016,Wednesday,Local,2,0.0,87,Broker,1,3800.654875,1.0,Large,41331.07845,blue,48579.46149
891,2250,40,M,1.0,73,36911,1,1,Own,15033,9/6/2016,Tuesday,Local,0,1.0,5,Phone,0,4175.635786,6.0,Compact,8203.86648,gray,11456.23387
7946,19907,66,M,1.0,69,41880,1,1,Own,80037,11/3/2016,Thursday,Local,0,0.0,57,Phone,1,2959.603088,8.0,Compact,36213.49235,other,28011.18595
3761,9507,55,M,1.0,44,40064,0,1,Rent,85031,1/20/2016,Wednesday,Highway,0,0.0,85,Online,0,6588.643821,4.0,Large,39430.53015,silver,18676.55917
6568,16477,81,M,1.0,73,43945,1,0,Own,20165,3/23/2016,Wednesday,Parking Lot,0,0.0,50,Broker,1,2823.825269,5.0,Large,9736.758291,other,27779.23045
6801,17014,20,F,1.0,82,29949,1,1,Rent,15009,4/21/2015,Tuesday,Local,1,1.0,77,Online,1,4821.163381,6.0,Compact,29509.056780000003,silver,10293.53657
8048,20187,36,M,1.0,82,35821,0,0,Rent,15010,1/6/2015,Tuesday,Local,0,1.0,96,Broker,0,9921.418765,6.0,Compact,25163.91971,other,16069.74886
11296,28218,45,F,1.0,64,38067,1,1,Own,20111,12/28/2016,Wednesday,Local,2,0.0,31,Broker,1,9441.436073,5.0,Compact,9208.005048,blue,29862.18701
9772,24501,52,M,0.0,77,39519,1,1,Rent,50035,6/8/2015,Monday,Local,0,1.0,13,Broker,1,6130.9101200000005,5.0,Large,19839.69894,red,33353.97845
10966,27394,45,F,1.0,79,38067,1,0,Rent,15020,3/31/2016,Thursday,Local,2,0.0,21,Broker,1,2436.433782,9.0,Medium,18231.10179,other,55492.25717
4450,11243,38,F,0.0,83,36372,1,1,Own,80014,11/11/2015,Wednesday,Highway,1,0.0,7,Phone,0,6147.075306000001,8.0,Medium,15796.79001,blue,9293.168262
1260,3172,42,F,0.0,52,37381,0,0,Own,50008,10/15/2016,Saturday,Local,0,0.0,19,Broker,1,6802.923168000001,6.0,Compact,46119.68381,gray,24857.70746
8687,21780,34,M,1.0,69,35264,0,1,Own,85083,7/4/2015,Saturday,Parking Lot,0,0.0,19,Phone,1,2208.412537,12.0,Compact,58993.58036,white,48239.28921
4507,11366,44,F,0.0,43,37822,1,1,Own,85023,5/6/2016,Friday,Parking Lot,0,0.0,4,Broker,0,5750.012747,3.0,Large,16624.9591,silver,12188.04096
3119,7862,34,F,1.0,77,35260,1,0,Own,15024,11/1/2015,Sunday,Local,0,0.0,50,Broker,0,5062.659996,4.0,Compact,9534.054205,silver,33476.99392
4777,12009,30,M,0.0,78,34015,1,0,Own,15009,12/9/2016,Friday,Local,0,0.0,3,Phone,0,5375.650326,5.0,Compact,33573.73677,gray,25890.63333
6701,16779,50,F,0.0,67,39133,1,0,Own,50048,10/23/2015,Friday,Parking Lot,0,0.0,93,Broker,0,4430.300265999999,1.0,Large,18030.85251,silver,24049.8666
7925,19862,60,F,1.0,86,40916,1,0,Own,50035,2/2/2015,Monday,Local,1,0.0,79,Broker,0,6150.283178,3.0,Compact,45140.51553,blue,37036.88953
